customer_id,dropoff_long,dropoff_lat,dropoff_node_id,volume,dropoff_tw_start,dropoff_tw_end,service_duration,depth,height,width,dropoff_zone_id,delivered_date,depot_id,vehicle_id,stop_id
c306,-88.255268,41.651883,cust_node_211,17886.329999999998,,,37.8,33.0,20.3,26.7,A-2.1E,2018-08-08,DCH3,v1,DT
c307,-88.255268,41.651883,cust_node_211,3436.112,,,37.8,25.4,7.6,17.8,A-2.1E,2018-08-08,DCH3,v1,DT
c308,-88.255268,41.651883,cust_node_211,2801.05,,,37.8,30.2,5.3,17.5,A-2.1E,2018-08-08,DCH3,v1,DT
c309,-88.241445,41.640248,cust_node_212,5741.924,2018-08-08 14:00:00,2018-08-08 22:00:00,17.0,25.4,12.7,17.8,A-2.2B,2018-08-08,DCH3,v1,DV
c310,-88.22616,41.636154,cust_node_213,6282.387999999999,,,20.0,34.3,7.6,24.1,A-2.2A,2018-08-08,DCH3,v1,DX
c311,-88.258425,41.652472,cust_node_214,5964.112000000001,,,23.0,32.9,10.3,17.6,A-2.1E,2018-08-08,DCH3,v1,DZ
c312,-88.258425,41.652472,cust_node_214,2962.632,,,23.0,29.2,3.8,26.7,A-2.1E,2018-08-08,DCH3,v1,DZ
c313,-88.263186,41.646775,cust_node_215,28885.428000000004,,,48.0,36.2,27.9,28.6,A-2.1D,2018-08-08,DCH3,v1,EA
c314,-88.263186,41.646775,cust_node_215,10440.234,,,48.0,34.3,11.4,26.7,A-2.1D,2018-08-08,DCH3,v1,EA
c315,-88.246012,41.637567,cust_node_216,4003.796,,,39.0,26.9,6.1,24.4,A-2.2B,2018-08-08,DCH3,v1,EC
c316,-88.276344,41.643994,cust_node_217,13297.312,,,32.0,36.8,17.8,20.3,A-2.3D,2018-08-08,DCH3,v1,EE
c317,-88.276344,41.643994,cust_node_217,5741.924,,,32.0,25.4,12.7,17.8,A-2.3D,2018-08-08,DCH3,v1,EE
c318,-88.276344,41.643994,cust_node_217,2063.664,,,32.0,30.6,2.4,28.1,A-2.3D,2018-08-08,DCH3,v1,EE
c319,-88.230504,41.63599,cust_node_218,3820.655999999999,,,23.8,27.4,5.6,24.9,A-2.2A,2018-08-08,DCH3,v1,EV
c320,-88.230504,41.63599,cust_node_218,6282.387999999999,,,23.8,34.3,7.6,24.1,A-2.2A,2018-08-08,DCH3,v1,EV
c321,-88.230504,41.63599,cust_node_218,54211.91999999999,,,23.8,48.3,30.5,36.8,A-2.2A,2018-08-08,DCH3,v1,EV
c322,-88.230504,41.63599,cust_node_218,870.1999999999999,,,23.8,22.9,2.5,15.2,A-2.2A,2018-08-08,DCH3,v1,EV
c323,-88.224057,41.624575,cust_node_219,9522.192,,,20.4,39.4,7.6,31.8,,2018-08-08,DCH3,v1,FB
c324,-88.224057,41.624575,cust_node_219,15.625,,,20.4,2.5,2.5,2.5,,2018-08-08,DCH3,v1,FB
c325,-88.224057,41.624575,cust_node_219,1928.32,,,20.4,26.2,4.6,16.0,,2018-08-08,DCH3,v1,FB
c326,-88.224057,41.624575,cust_node_219,9522.192,,,20.4,39.4,7.6,31.8,,2018-08-08,DCH3,v1,FB
c327,-88.224057,41.624575,cust_node_219,4522.434,,,20.4,28.2,7.9,20.3,,2018-08-08,DCH3,v1,FB
c328,-88.23866,41.637024,cust_node_220,4781.114,,,16.0,37.3,5.8,22.1,A-2.2B,2018-08-08,DCH3,v1,FF
c329,-88.23866,41.637024,cust_node_220,13297.312,,,16.0,36.8,17.8,20.3,A-2.2B,2018-08-08,DCH3,v1,FF
c330,-88.253039,41.643105,cust_node_221,1207.1280000000002,,,36.0,31.8,1.3,29.2,,2018-08-08,DCH3,v1,FG
c331,-88.248022,41.637103,cust_node_222,5741.924,,,38.0,25.4,12.7,17.8,A-2.1B,2018-08-08,DCH3,v1,FH
c332,-88.222308,41.633164,cust_node_223,42852.726,2018-08-08 14:00:00,2018-08-08 21:00:00,483.0,48.3,27.9,31.8,A-2.1A,2018-08-08,DCH3,v1,FL
c333,-88.256014,41.639286,cust_node_224,27000.0,,,52.0,36.0,25.0,30.0,,2018-08-08,DCH3,v1,FR
c334,-88.238264,41.642413,cust_node_225,3023.16,,,14.0,29.5,6.1,16.8,A-2.3B,2018-08-08,DCH3,v1,FU
c335,-88.243722,41.637043,cust_node_226,516.945,,,23.0,24.1,1.3,16.5,A-2.2B,2018-08-08,DCH3,v1,FW
c336,-88.262418,41.650001,cust_node_227,1207.1280000000002,,,210.0,31.8,1.3,29.2,A-2.1D,2018-08-08,DCH3,v1,FX
c337,-88.260043,41.644737,cust_node_228,3436.112,,,22.0,25.4,7.6,17.8,A-2.1D,2018-08-08,DCH3,v1,GF
c338,-88.227789,41.622782,cust_node_229,1262.976,,,110.0,20.8,4.6,13.2,A-3.2A,2018-08-08,DCH3,v1,GH
c339,-88.24691,41.642477,cust_node_230,1086.3,,,38.0,34.0,1.5,21.3,A-2.1B,2018-08-08,DCH3,v1,GK
c340,-88.225331,41.631268,cust_node_231,9522.192,,,57.3,39.4,7.6,31.8,A-2.1A,2018-08-08,DCH3,v1,GS
c341,-88.225331,41.631268,cust_node_231,1203.332,,,57.3,31.7,1.3,29.2,A-2.1A,2018-08-08,DCH3,v1,GS
c342,-88.225331,41.631268,cust_node_231,24227.28,,,57.3,48.3,15.2,33.0,A-2.1A,2018-08-08,DCH3,v1,GS
c343,-88.271732,41.647293,cust_node_232,5934.06,,,39.0,33.3,9.9,18.0,A-2.2D,2018-08-08,DCH3,v1,GU
c344,-88.271732,41.647293,cust_node_232,7700.992,,,39.0,35.6,10.4,20.8,A-2.2D,2018-08-08,DCH3,v1,GU
c345,-88.22866,41.638323,cust_node_233,5741.924,,,16.0,25.4,12.7,17.8,A-2.3A,2018-08-08,DCH3,v1,GV
c346,-88.230084,41.630671,cust_node_234,3436.112,,,33.0,25.4,7.6,17.8,A-3.1A,2018-08-08,DCH3,v1,HE
c347,-88.246029,41.638064,cust_node_235,2127.375,,,15.0,30.5,2.5,27.9,A-2.2B,2018-08-08,DCH3,v1,HI
c348,-88.230825,41.631625,cust_node_236,767.448,,,93.0,32.3,0.8,29.7,A-3.1A,2018-08-08,DCH3,v1,HL
c349,-88.248247,41.640699,cust_node_237,32159.26,,,69.0,44.5,20.3,35.6,A-2.1B,2018-08-08,DCH3,v1,HM
c350,-88.248055,41.638069,cust_node_238,1207.1280000000002,,,29.0,31.8,1.3,29.2,A-2.1B,2018-08-08,DCH3,v1,HS
c351,-88.269817,41.637603,cust_node_239,4781.114,,,55.5,37.3,5.8,22.1,,2018-08-08,DCH3,v1,HY
c352,-88.269817,41.637603,cust_node_239,7937.706,,,55.5,34.3,11.4,20.3,,2018-08-08,DCH3,v1,HY
c353,-88.271172,41.645657,cust_node_240,5741.924,,,98.0,25.4,12.7,17.8,A-2.2D,2018-08-08,DCH3,v1,IA
c354,-88.262325,41.6447,cust_node_241,1611.792,,,30.0,31.2,1.8,28.7,A-2.1D,2018-08-08,DCH3,v1,IC
c355,-88.262325,41.6447,cust_node_241,6007.365,,,30.0,31.5,11.7,16.3,A-2.1D,2018-08-08,DCH3,v1,IC
c356,-88.262325,41.6447,cust_node_241,4164.335999999999,,,30.0,26.4,6.6,23.9,A-2.1D,2018-08-08,DCH3,v1,IC
c357,-88.265622,41.638119,cust_node_242,3436.112,,,46.0,25.4,7.6,17.8,A-2.3C,2018-08-08,DCH3,v1,ID
c358,-88.252679,41.642239,cust_node_243,2128.98,,,31.0,41.1,2.0,25.9,A-2.1C,2018-08-08,DCH3,v1,IF
c359,-88.252679,41.642239,cust_node_243,296.262,,,31.0,32.7,0.3,30.2,A-2.1C,2018-08-08,DCH3,v1,IF
c360,-88.274107,41.644815,cust_node_244,10440.234,,,17.0,34.3,11.4,26.7,A-2.3D,2018-08-08,DCH3,v1,II
c361,-88.227825,41.63115,cust_node_245,2127.375,,,34.5,30.5,2.5,27.9,,2018-08-08,DCH3,v1,IR
c362,-88.227825,41.63115,cust_node_245,9160.128,,,34.5,43.2,7.6,27.9,,2018-08-08,DCH3,v1,IR
c363,-88.255405,41.645611,cust_node_246,5981.580000000001,2018-08-08 14:00:00,2018-08-08 22:00:00,39.0,31.8,11.4,16.5,A-2.1E,2018-08-08,DCH3,v1,IV
c364,-88.22696,41.632941,cust_node_247,2127.375,,,26.5,30.5,2.5,27.9,A-2.1A,2018-08-08,DCH3,v1,IW
c365,-88.22696,41.632941,cust_node_247,5942.01,,,26.5,30.5,10.2,19.1,A-2.1A,2018-08-08,DCH3,v1,IW
c366,-88.276864,41.640069,cust_node_248,1408.176,,,11.0,25.4,3.3,16.8,A-2.3D,2018-08-08,DCH3,v1,JC
c367,-88.276864,41.640069,cust_node_248,5047.392000000001,,,11.0,29.6,9.8,17.4,A-2.3D,2018-08-08,DCH3,v1,JC
c368,-88.27177,41.647683,cust_node_249,944.0,,,261.0,32.0,1.0,29.5,A-2.2D,2018-08-08,DCH3,v1,JE
c369,-88.253106,41.644631,cust_node_250,83954.64,,,53.0,61.6,33.0,41.3,A-2.1E,2018-08-08,DCH3,v1,JO
c370,-88.262536,41.645716,cust_node_251,17886.329999999998,,,16.5,33.0,20.3,26.7,A-2.1D,2018-08-08,DCH3,v1,JX
c371,-88.262536,41.645716,cust_node_251,28885.428000000004,,,16.5,36.2,27.9,28.6,A-2.1D,2018-08-08,DCH3,v1,JX
c372,-88.262536,41.645716,cust_node_251,32443.801,,,16.5,55.9,12.7,45.7,A-2.1D,2018-08-08,DCH3,v1,JX
c373,-88.262536,41.645716,cust_node_251,27476.064,,,16.5,61.6,10.8,41.3,A-2.1D,2018-08-08,DCH3,v1,JX
c374,-88.234234,41.628888,cust_node_252,2609.58,,,29.3,31.0,4.6,18.3,A-3.1A,2018-08-08,DCH3,v1,KB
c375,-88.234234,41.628888,cust_node_252,2135.0,,,29.3,30.5,2.5,28.0,A-3.1A,2018-08-08,DCH3,v1,KB
c376,-88.234234,41.628888,cust_node_252,5741.924,,,29.3,25.4,12.7,17.8,A-3.1A,2018-08-08,DCH3,v1,KB
c377,-88.239049,41.643378,cust_node_253,4517.855999999999,,,27.3,24.9,8.1,22.4,A-2.3B,2018-08-08,DCH3,v1,KC
c378,-88.239049,41.643378,cust_node_253,15726.41,,,27.3,40.6,12.7,30.5,A-2.3B,2018-08-08,DCH3,v1,KC
c379,-88.239049,41.643378,cust_node_253,13392.72,,,27.3,49.5,7.6,35.6,A-2.3B,2018-08-08,DCH3,v1,KC
c380,-88.231511,41.639166,cust_node_254,7937.706,,,135.7,34.3,11.4,20.3,A-2.3A,2018-08-08,DCH3,v1,KI
c381,-88.231511,41.639166,cust_node_254,2579.6400000000003,,,135.7,22.2,8.3,14.0,A-2.3A,2018-08-08,DCH3,v1,KI
c382,-88.231511,41.639166,cust_node_254,13392.72,,,135.7,49.5,7.6,35.6,A-2.3A,2018-08-08,DCH3,v1,KI
c383,-88.260077,41.645769,cust_node_255,3436.112,,,20.0,25.4,7.6,17.8,A-2.1D,2018-08-08,DCH3,v1,KJ
c384,-88.228881,41.63202,cust_node_256,2665.872,,,36.3,29.7,3.3,27.2,,2018-08-08,DCH3,v1,KN
c385,-88.228881,41.63202,cust_node_256,15726.41,,,36.3,40.6,12.7,30.5,,2018-08-08,DCH3,v1,KN
c386,-88.228881,41.63202,cust_node_256,32159.26,,,36.3,44.5,20.3,35.6,,2018-08-08,DCH3,v1,KN
c387,-88.224511,41.623324,cust_node_257,2665.872,,,35.5,29.7,3.3,27.2,A-3.2A,2018-08-08,DCH3,v1,KO
c388,-88.224511,41.623324,cust_node_257,54264.0,,,35.5,59.5,28.5,32.0,A-3.2A,2018-08-08,DCH3,v1,KO
c389,-88.231546,41.63972,cust_node_258,3436.112,,,32.5,25.4,7.6,17.8,A-2.3A,2018-08-08,DCH3,v1,KP
c390,-88.231546,41.63972,cust_node_258,47696.88,,,32.5,66.0,17.8,40.6,A-2.3A,2018-08-08,DCH3,v1,KP
c391,-88.261896,41.655442,cust_node_259,50847.44,,,56.0,43.4,29.0,40.4,A-2.1E,2018-08-08,DCH3,v1,KQ
c392,-88.231257,41.62954,cust_node_260,1991.202,,,33.0,30.7,2.3,28.2,A-3.1A,2018-08-08,DCH3,v1,KR
c393,-88.257226,41.639274,cust_node_261,6282.387999999999,,,42.0,34.3,7.6,24.1,A-2.1C,2018-08-08,DCH3,v1,KS
c394,-88.275287,41.640254,cust_node_262,15726.41,,,30.0,40.6,12.7,30.5,A-2.3D,2018-08-08,DCH3,v1,KV
c395,-88.23338,41.638085,cust_node_263,4134.0,,,46.0,26.5,6.5,24.0,A-2.3A,2018-08-08,DCH3,v1,KW
c396,-88.25978,41.638748,cust_node_264,4373.9,,,30.0,38.2,5.0,22.9,A-2.2C,2018-08-08,DCH3,v1,KX
c397,-88.235854,41.640759,cust_node_265,24227.28,,,38.0,48.3,15.2,33.0,A-2.3A,2018-08-08,DCH3,v1,LB
c398,-88.269808,41.637071,cust_node_266,6762.6,,,265.0,26.0,15.3,17.0,A-2.3C,2018-08-08,DCH3,v1,LD
c399,-88.25857,41.649079,cust_node_267,42852.726,,,37.0,48.3,27.9,31.8,A-2.1E,2018-08-08,DCH3,v1,LH
c400,-88.260199,41.643618,cust_node_268,13392.72,,,49.0,49.5,7.6,35.6,A-2.1D,2018-08-08,DCH3,v1,LJ
c401,-88.260199,41.643618,cust_node_268,9522.192,,,49.0,39.4,7.6,31.8,A-2.1D,2018-08-08,DCH3,v1,LJ
c402,-88.260199,41.643618,cust_node_268,13392.72,,,49.0,49.5,7.6,35.6,A-2.1D,2018-08-08,DCH3,v1,LJ
c403,-88.260199,41.643618,cust_node_268,5741.924,,,49.0,25.4,12.7,17.8,A-2.1D,2018-08-08,DCH3,v1,LJ
c404,-88.245875,41.637176,cust_node_269,18819.000000000004,,,123.0,30.6,24.6,25.0,A-2.2B,2018-08-08,DCH3,v1,LP
c405,-88.232252,41.628913,cust_node_270,5957.819999999999,,,21.0,33.0,10.2,17.7,A-3.1A,2018-08-08,DCH3,v1,LU
c406,-88.234145,41.640839,cust_node_271,27654.48,,,66.5,54.0,12.4,41.3,A-2.3A,2018-08-08,DCH3,v1,LZ
c407,-88.234145,41.640839,cust_node_271,7937.706,,,66.5,34.3,11.4,20.3,A-2.3A,2018-08-08,DCH3,v1,LZ
c408,-88.22643,41.622801,cust_node_272,9160.128,,,25.0,43.2,7.6,27.9,A-3.2A,2018-08-08,DCH3,v1,MA
c409,-88.232721,41.639272,cust_node_273,1302.0279999999998,,,77.0,34.3,1.3,29.2,A-2.3A,2018-08-08,DCH3,v1,ME
c410,-88.276293,41.641273,cust_node_274,4420.616,,,38.3,25.4,7.6,22.9,A-2.3D,2018-08-08,DCH3,v1,MJ
c411,-88.276293,41.641273,cust_node_274,3015.0,,,38.3,40.2,3.0,25.0,A-2.3D,2018-08-08,DCH3,v1,MJ
c412,-88.276293,41.641273,cust_node_274,32159.26,,,38.3,44.5,20.3,35.6,A-2.3D,2018-08-08,DCH3,v1,MJ
c413,-88.27408,41.649971,cust_node_275,3859.1280000000006,,,36.5,27.3,5.7,24.8,A-2.2D,2018-08-08,DCH3,v1,ML
c414,-88.27408,41.649971,cust_node_275,765.0720000000001,2018-08-08 14:00:00,2018-08-08 22:00:00,36.5,32.2,0.8,29.7,A-2.2D,2018-08-08,DCH3,v1,ML
c415,-88.229831,41.627504,cust_node_276,5741.924,,,33.0,25.4,12.7,17.8,A-3.1A,2018-08-08,DCH3,v1,MM
c416,-88.256318,41.643065,cust_node_277,5492.368,,,72.0,35.6,7.6,20.3,A-2.1C,2018-08-08,DCH3,v1,MP
c417,-88.224201,41.623774,cust_node_278,4053.861,,,32.0,26.7,6.3,24.1,A-3.2A,2018-08-08,DCH3,v1,MT
c418,-88.258581,41.639911,cust_node_279,5741.924,,,391.0,25.4,12.7,17.8,A-2.1C,2018-08-08,DCH3,v1,MU
c419,-88.271353,41.638192,cust_node_280,857.8080000000001,,,26.0,32.2,0.9,29.6,A-2.3C,2018-08-08,DCH3,v1,MX
c420,-88.23144,41.626884,cust_node_281,870.1999999999999,,,53.0,22.9,2.5,15.2,A-3.1A,2018-08-08,DCH3,v1,NJ
c421,-88.234133,41.628036,cust_node_282,679.6800000000001,,,14.7,23.6,1.8,16.0,A-3.1A,2018-08-08,DCH3,v1,NK
c422,-88.234133,41.628036,cust_node_282,6282.387999999999,,,14.7,34.3,7.6,24.1,A-3.1A,2018-08-08,DCH3,v1,NK
c423,-88.234133,41.628036,cust_node_282,9522.192,,,14.7,39.4,7.6,31.8,A-3.1A,2018-08-08,DCH3,v1,NK
c424,-88.27787,41.63884,cust_node_283,3436.112,,,12.0,25.4,7.6,17.8,A-2.3D,2018-08-08,DCH3,v1,NL
c425,-88.27787,41.63884,cust_node_283,5741.924,,,12.0,25.4,12.7,17.8,A-2.3D,2018-08-08,DCH3,v1,NL
c426,-88.27787,41.63884,cust_node_283,2514.42,,,12.0,30.5,3.6,22.9,A-2.3D,2018-08-08,DCH3,v1,NL
c427,-88.225843,41.624454,cust_node_284,5741.924,2018-08-08 14:00:00,2018-08-08 22:00:00,33.7,25.4,12.7,17.8,A-3.2A,2018-08-08,DCH3,v1,NO
c428,-88.225843,41.624454,cust_node_284,5741.924,2018-08-08 14:00:00,2018-08-08 22:00:00,33.7,25.4,12.7,17.8,A-3.2A,2018-08-08,DCH3,v1,NO
c429,-88.225843,41.624454,cust_node_284,3614.166,,,33.7,27.9,5.1,25.4,A-3.2A,2018-08-08,DCH3,v1,NO
c430,-88.255577,41.652936,cust_node_285,3933.294000000001,,,23.0,27.1,5.9,24.6,A-2.1E,2018-08-08,DCH3,v1,NU
c431,-88.246973,41.640688,cust_node_286,1829.19,,,72.0,24.1,4.6,16.5,A-2.1B,2018-08-08,DCH3,v1,NV
c432,-88.266107,41.645748,cust_node_287,13297.312,,,22.0,36.8,17.8,20.3,A-2.2C,2018-08-08,DCH3,v1,NW
c433,-88.254197,41.640245,cust_node_288,9522.192,,,36.0,39.4,7.6,31.8,A-2.1C,2018-08-08,DCH3,v1,NY
c434,-88.272299,41.646427,cust_node_289,5741.924,,,39.2,25.4,12.7,17.8,A-2.2D,2018-08-08,DCH3,v1,OE
c435,-88.272299,41.646427,cust_node_289,14354.496000000005,,,39.2,31.2,21.3,21.6,A-2.2D,2018-08-08,DCH3,v1,OE
c436,-88.272299,41.646427,cust_node_289,3436.112,,,39.2,25.4,7.6,17.8,A-2.2D,2018-08-08,DCH3,v1,OE
c437,-88.272299,41.646427,cust_node_289,1314.831,,,39.2,20.3,5.1,12.7,A-2.2D,2018-08-08,DCH3,v1,OE
c438,-88.22948,41.627944,cust_node_290,5741.924,,,57.0,25.4,12.7,17.8,A-3.1A,2018-08-08,DCH3,v1,OJ
c439,-88.22948,41.627944,cust_node_290,5741.924,,,57.0,25.4,12.7,17.8,A-3.1A,2018-08-08,DCH3,v1,OJ
c440,-88.262574,41.648032,cust_node_291,17886.329999999998,,,30.0,33.0,20.3,26.7,A-2.1D,2018-08-08,DCH3,v1,OQ
c441,-88.2402,41.637132,cust_node_292,4623.52,,,11.0,29.6,11.0,14.2,A-2.2B,2018-08-08,DCH3,v1,OS
c442,-88.2402,41.637132,cust_node_292,3614.166,,,11.0,27.9,5.1,25.4,A-2.2B,2018-08-08,DCH3,v1,OS
c443,-88.2402,41.637132,cust_node_292,2342.3119999999994,,,11.0,30.2,2.8,27.7,A-2.2B,2018-08-08,DCH3,v1,OS
c444,-88.260297,41.644303,cust_node_293,1611.792,,,54.3,31.2,1.8,28.7,A-2.1D,2018-08-08,DCH3,v1,PB
c445,-88.260297,41.644303,cust_node_293,9522.192,,,54.3,39.4,7.6,31.8,A-2.1D,2018-08-08,DCH3,v1,PB
c446,-88.260297,41.644303,cust_node_293,3436.112,,,54.3,25.4,7.6,17.8,A-2.1D,2018-08-08,DCH3,v1,PB
c447,-88.234147,41.639922,cust_node_294,487.5,,,47.0,32.5,0.5,30.0,A-2.3A,2018-08-08,DCH3,v1,PJ
c448,-88.261349,41.648662,cust_node_295,3882.06,,,16.0,39.0,4.2,23.7,A-2.1D,2018-08-08,DCH3,v1,PK
c449,-88.272068,41.633446,cust_node_296,5741.924,,,31.0,25.4,12.7,17.8,A-2.3C,2018-08-08,DCH3,v1,PL
c450,-88.254593,41.643044,cust_node_297,5877.82,,,28.0,33.8,9.4,18.5,A-2.1C,2018-08-08,DCH3,v1,PM
c451,-88.265927,41.65,cust_node_298,870.1999999999999,,,20.3,22.9,2.5,15.2,A-2.2C,2018-08-08,DCH3,v1,PO
c452,-88.265927,41.65,cust_node_298,7937.706,,,20.3,34.3,11.4,20.3,A-2.2C,2018-08-08,DCH3,v1,PO
c453,-88.265927,41.65,cust_node_298,2689.5000000000005,,,20.3,32.6,3.0,27.5,A-2.2C,2018-08-08,DCH3,v1,PO
c454,-88.235727,41.64341,cust_node_299,9522.192,,,32.0,39.4,7.6,31.8,A-2.3B,2018-08-08,DCH3,v1,PQ
c455,-88.227778,41.635216,cust_node_300,3436.112,,,22.0,25.4,7.6,17.8,A-2.2A,2018-08-08,DCH3,v1,PT
c456,-88.260166,41.657035,cust_node_301,679.6800000000001,,,48.0,23.6,1.8,16.0,A-2.1E,2018-08-08,DCH3,v1,QB
c457,-88.227388,41.631955,cust_node_302,3409.559999999999,,,24.0,31.5,4.1,26.4,A-2.1A,2018-08-08,DCH3,v1,QC
c458,-88.254863,41.652994,cust_node_303,10440.234,,,18.0,34.3,11.4,26.7,A-2.1E,2018-08-08,DCH3,v1,QU
c459,-88.254863,41.652994,cust_node_303,2578.1,,,18.0,40.6,2.5,25.4,A-2.1E,2018-08-08,DCH3,v1,QU
c460,-88.253636,41.64979,cust_node_304,9160.128,,,46.0,43.2,7.6,27.9,A-2.1E,2018-08-08,DCH3,v1,QZ
c461,-88.229451,41.633438,cust_node_305,5741.924,,,41.5,25.4,12.7,17.8,A-2.2A,2018-08-08,DCH3,v1,RA
c462,-88.229451,41.633438,cust_node_305,2603.3280000000004,,,41.5,29.8,3.2,27.3,A-2.2A,2018-08-08,DCH3,v1,RA
c463,-88.226099,41.634392,cust_node_306,4260.24,,,32.5,24.4,9.7,18.0,A-2.1A,2018-08-08,DCH3,v1,RM
c464,-88.226099,41.634392,cust_node_306,9522.192,,,32.5,39.4,7.6,31.8,A-2.1A,2018-08-08,DCH3,v1,RM
c465,-88.277166,41.643985,cust_node_308,1370.25,,,32.0,31.5,1.5,29.0,A-2.3D,2018-08-08,DCH3,v1,RU
c466,-88.232975,41.628004,cust_node_309,57126.84799999999,,,53.0,39.4,36.8,39.4,A-3.1A,2018-08-08,DCH3,v1,SB
c467,-88.264734,41.647841,cust_node_310,3478.7519999999995,,,25.0,28.2,4.8,25.7,A-2.2C,2018-08-08,DCH3,v1,SF
c468,-88.230938,41.628181,cust_node_311,636.24,,,31.0,24.1,1.6,16.5,A-3.1A,2018-08-08,DCH3,v1,SK
c469,-88.262678,41.64618,cust_node_312,487.5,,,29.0,32.5,0.5,30.0,A-2.1D,2018-08-08,DCH3,v1,SL
c470,-88.259804,41.63922,cust_node_313,32159.26,,,38.0,44.5,20.3,35.6,A-2.2C,2018-08-08,DCH3,v1,SM
